# Hour	Dry Bulb Temperature {C}	Direct Normal Radiation {Wh/m2}	Diffuse Horizontal Radiation {Wh/m2}
9	29	937	103
10	29.8	886	152
11	31.1	799	219
12	31.3	752	258
13	32.6	807	212
14	32.6	898	141
15	32.7	953	92
16	31.2	907	74
17	30.2	680	79
18	28.9	58	51
19	28.3	0	0
20	27.6	0	0
21	27.2	0	0
22	26.8	0	0
23	26.6	0	0
24	26.3	0	0
1	26.2	0	0
2	26	0	0
3	26	0	0
4	25.7	0	0
5	25.9	0	0
6	26	58	55
7	27.1	673	87
8	28.2	916	78
9	29.7	969	93
10	30.6	918	138
11	31.7	832	202
12	32.3	786	239
13	32.6	840	195
14	32.4	930	128
15	31.5	983	82
16	30.8	937	67
17	29.8	713	73
18	29	58	49
19	27.9	0	0
20	27.3	0	0
21	26.9	0	0
22	26.7	0	0
23	26.5	0	0
24	26.2	0	0
1	26.1	0	0
2	25.8	0	0
3	25.9	0	0
4	25.5	0	0
5	25.6	0	0
6	25.5	59	55
7	26.7	700	82
8	27.7	942	72
9	29.5	993	86
10	30	943	128
11	31	858	189
12	31.1	812	225
13	32.1	865	182
14	32.1	954	118
15	32.1	1007	76
16	30.9	961	61
17	30.1	739	69
18	29	59	48
19	28.5	0	0
20	28	0	0
21	27.8	0	0
22	27.5	0	0
23	27.4	0	0
24	27.2	0	0
1	27.2	0	0
2	27	0	0
3	27	0	0
4	26.8	0	0
5	26.8	0	0
6	26.9	59	58
7	27.6	610	99
8	28.4	854	95
9	29.7	908	113
10	30.3	856	165
11	31.1	769	235
12	31.2	722	275
13	31.9	777	227
14	31.7	870	153
15	31.6	926	101
16	30.4	879	81
17	29.5	652	84
18	28.4	59	52
19	28	0	0
20	27.4	0	0
21	27.3	0	0
22	26.9	0	0
23	26.9	0	0
24	26.6	0	0
1	26.7	0	0
2	26.5	0	0
3	26.8	0	0
4	26.2	0	0
5	26.3	0	0
6	26.2	59	59
7	27.1	581	104
8	27.8	825	103
9	28.9	880	123
10	29.4	828	178
11	30.1	740	251
12	30.2	693	291
13	30.7	748	242
14	30.5	842	165
15	30.6	899	110
16	29.6	852	88
17	29	624	89
18	28.2	59	53
19	27.9	0	0
20	27.5	0	0
21	26.9	0	0
22	26.9	0	0
23	26.6	0	0
24	26.7	0	0
1	26	0	0
2	25.7	0	0
3	25.8	0	0
4	25.4	0	0
5	25.6	0	0
6	25	59	58
7	26.8	623	97
8	27.7	867	91
9	29.5	921	109
10	29.3	869	160
11	29.9	782	229
12	30.1	735	267
13	30.1	790	221
14	29.8	882	148
15	28.6	937	97
16	28.5	891	78
17	27.9	665	82
18	27.8	59	52
19	27	0	0
20	26.9	0	0
21	27	0	0
22	26.9	0	0
23	26.9	0	0
24	26.4	0	0
1	26.6	0	0
2	26.4	0	0
3	26.4	0	0
4	25.9	0	0
5	26	0	0
6	26.1	60	59
7	26.8	601	101
8	27.5	846	97
9	28.6	900	117
10	29.2	848	169
11	29.8	760	240
12	29.9	713	280
13	30.2	769	232
14	29.9	862	157
15	29.4	918	104
16	28.7	871	83
17	28.1	644	86
18	27.8	60	53
19	26.9	0	0
20	26.6	0	0
21	25.9	0	0
22	26.1	0	0
23	25.8	0	0
24	25.6	0	0
1	25.3	0	0
2	25.1	0	0
3	25	0	0
4	24.9	0	0
5	25	0	0
6	25	60	62
7	26	437	132
8	26.9	669	149
9	28.4	727	182
10	28.9	674	251
11	29.9	588	334
12	30.4	543	376
13	30.9	598	324
14	30.8	692	235
15	30	751	164
16	29.7	702	130
17	28.9	482	116
18	28.6	60	58
19	27.3	0	0
20	26.8	0	0
21	26.4	0	0
22	26.5	0	0
23	26.5	0	0
24	26.3	0	0
1	26.4	0	0
2	26.2	0	0
3	26.4	0	0
4	25.8	0	0
5	25.6	0	0
6	25.6	34	57
7	25.7	121	176
8	26	220	277
9	26	258	365
10	27	236	451
11	27.6	197	520
12	28.3	177	549
13	28.6	204	513
14	28.9	251	438
15	29.5	282	347
16	29	249	261
17	28.7	145	167
18	27.9	41	56
19	27.9	0	0
20	27.4	0	0
21	26.4	0	0
22	26.2	0	0
23	25.6	0	0
24	26.3	0	0
1	24.5	0	0
2	24.2	0	0
3	23.2	0	0
4	24.1	0	0
5	24.3	0	0
6	24.1	31	56
7	25.3	106	175
8	26	194	282
9	28.2	229	373
10	27.2	210	459
11	27.7	176	525
12	27	158	552
13	28	182	519
14	27.9	224	447
15	27.3	251	357
16	27.4	221	267
17	27.2	128	168
18	27.9	37	55
19	26.8	0	0
20	26.7	0	0
21	26.2	0	0
22	26.6	0	0
23	26.5	0	0
24	26.1	0	0
1	25.9	0	0
2	25.5	0	0
3	25.4	0	0
4	24.9	0	0
5	24.8	0	0
6	25.3	5	37
7	25.1	13	128
8	25.5	23	236
9	25.1	29	334
10	26.4	29	407
11	26.8	26	452
12	27.6	24	467
13	27.4	28	451
14	27.4	32	405
15	27.5	33	331
16	27.4	27	234
17	27.3	16	127
18	27.2	7	36
19	27	0	0
20	26.9	0	0
21	26.3	0	0
22	26.4	0	0
23	26.1	0	0
24	25.8	0	0
1	25.4	0	0
2	25.1	0	0
3	25	0	0
4	24.4	0	0
5	24	0	0
6	22.7	0	13
7	23.3	1	50
8	23.1	1	104
9	24	2	163
10	23	2	217
11	23	3	255
12	22.8	3	269
13	23.1	3	255
14	23	3	217
15	22.5	2	163
16	22.7	2	103
17	22.4	1	50
18	22.5	1	13
19	22	0	0
20	21.9	0	0
21	22.2	0	0
22	22.1	0	0
23	22.2	0	0
24	22	0	0
1	22.4	0	0
2	22.4	0	0
3	22.4	0	0
4	22.2	0	0
5	22.1	0	0
6	22.4	6	38
7	22.1	14	131
8	22.3	25	241
9	22.6	32	340
10	23.2	32	414
11	23.9	29	459
12	24	27	475
13	25.2	30	458
14	25.8	35	411
15	27	36	336
16	26.5	30	238
17	26.7	18	130
18	26.4	7	37
19	26.4	0	0
20	26	0	0
21	25	0	0
22	25	0	0
23	24.4	0	0
24	24.3	0	0
1	23.4	0	0
2	23	0	0
3	23.2	0	0
4	22.8	0	0
5	23.1	0	0
6	22.5	61	63
7	24.3	299	158
8	25.2	494	204
9	27.3	550	255
10	27.1	504	336
11	27.9	429	420
12	27.7	391	460
13	28.9	439	410
14	28.9	524	318
15	29.2	579	234
16	28.3	532	182
17	27.8	340	143
18	27	61	60
19	26.8	0	0
20	26.3	0	0
21	26	0	0
22	25.4	0	0
23	24.9	0	0
24	24.2	0	0
1	24	0	0
2	23.5	0	0
3	23.9	0	0
4	22.9	0	0
5	23	0	0
6	22.8	48	61
7	24.4	187	173
8	25.5	329	252
9	26.9	377	325
10	27.6	344	410
11	28.4	288	488
12	28.9	260	522
13	28.9	297	479
14	28.7	362	394
15	28.2	405	304
16	27.8	364	232
17	27.3	219	161
18	26.9	57	59
19	26.5	0	0
20	26.2	0	0
21	25.8	0	0
22	25.4	0	0
23	24.9	0	0
24	24.3	0	0
1	23.5	0	0
2	22.9	0	0
3	22.6	0	0
4	22.3	0	0
5	22.5	0	0
6	22.6	61	62
7	24.1	514	118
8	25.2	755	124
9	27	812	150
10	27.5	759	211
11	28.3	670	289
12	28.5	624	331
13	28.8	680	280
14	28.5	775	197
15	27.9	833	134
16	27.4	785	107
17	26.8	559	102
18	26.5	61	56
19	26.1	0	0
20	25.9	0	0
21	26	0	0
22	25.8	0	0
23	25.6	0	0
24	25.1	0	0
1	25	0	0
2	24.5	0	0
3	24.1	0	0
4	23.7	0	0
5	23.5	0	0
6	23.8	20	51
7	23.9	59	168
8	24.4	109	287
9	24.8	131	389
10	25.6	123	472
11	26.1	104	529
12	26.7	94	550
13	26.6	108	525
14	26.6	133	464
15	26	147	378
16	26.4	126	277
17	26.3	72	163
18	26.9	26	51
19	26.2	0	0
20	26.2	0	0
21	25.8	0	0
22	25.9	0	0
23	25.5	0	0
24	24.7	0	0
1	24.2	0	0
2	23.6	0	0
3	23.7	0	0
4	22.9	0	0
5	23.1	0	0
6	23	53	62
7	24.4	214	170
8	25.4	371	240
9	26.9	422	307
10	27.6	385	392
11	28.5	323	472
12	28.8	292	509
13	29.2	332	464
14	29.1	404	376
15	29	451	286
16	28.2	408	220
17	27.6	249	157
18	26.9	64	59
19	26.7	0	0
20	26.5	0	0
21	26.2	0	0
22	26.1	0	0
23	25.9	0	0
24	25.8	0	0
1	25.4	0	0
2	25	0	0
3	24.9	0	0
4	24.4	0	0
5	24.4	0	0
6	24	61	63
7	25.3	353	148
8	26.1	565	182
9	27.9	623	225
10	27.8	574	302
11	28.5	493	386
12	28.4	451	429
13	29	503	377
14	28.8	593	285
15	28.2	650	205
16	27.7	602	161
17	27.1	396	133
18	27	61	59
19	26	0	0
20	25.6	0	0
21	25.1	0	0
22	25	0	0
23	24.7	0	0
24	23.9	0	0
1	23.8	0	0
2	23.5	0	0
3	24	0	0
4	23.1	0	0
5	23.3	0	0
6	22.6	60	63
7	24.4	308	156
8	25.4	507	200
9	27.5	564	250
10	27.4	517	330
11	28.2	441	414
12	28	401	455
13	28.9	451	405
14	28.7	537	312
15	28.5	592	229
16	27.8	545	179
17	27.2	350	141
18	26.8	60	60
19	26.4	0	0
20	26.2	0	0
21	26.2	0	0
22	26.2	0	0
23	26.3	0	0
24	26	0	0
1	26.3	0	0
2	26.2	0	0
3	26.2	0	0
4	26	0	0
5	26	0	0
6	26	60	62
7	26.5	458	129
8	27.1	693	142
9	28.1	751	173
10	28.5	698	240
11	29.2	611	322
12	29.1	565	365
13	29.9	621	313
14	29.9	716	225
15	30.1	774	156
16	29.2	726	124
17	28.7	504	113
18	28	60	58
19	27.7	0	0
20	27.4	0	0
21	27.1	0	0
22	27	0	0
23	26.9	0	0
24	26.8	0	0
1	26.7	0	0
2	26.6	0	0
3	26.8	0	0
4	26.4	0	0
5	26.6	0	0
6	26.6	60	61
7	27.6	521	117
8	28.3	763	121
9	29.4	819	147
10	30	766	208
11	30.6	677	286
12	30.8	631	327
13	31.2	687	277
14	31.1	782	194
15	31.2	840	131
16	30.3	792	105
17	29.8	566	101
18	28.9	60	56
19	28.7	0	0
20	28.3	0	0
21	27.9	0	0
22	27.4	0	0
23	27	0	0
24	26.3	0	0
1	25.9	0	0
2	25.2	0	0
3	25.6	0	0
4	24.5	0	0
5	24.6	0	0
6	23.9	9	18
7	26	321	89
8	27.1	786	91
9	29.2	922	94
10	29.5	914	128
11	30.3	836	190
12	30.6	758	252
13	31	762	248
14	30.7	847	180
15	30.2	929	116
16	29.6	941	82
17	29	817	77
18	28.4	345	77
19	28.1	9	16
20	27.9	0	0
21	27.9	0	0
22	27.4	0	0
23	27	0	0
24	26.2	0	0
1	25.8	0	0
2	25	0	0
3	25.1	0	0
4	24	0	0
5	24.1	0	0
6	24	9	18
7	25.7	294	95
8	27	728	105
9	28.7	868	111
10	29.4	860	149
11	30.1	780	218
12	30.3	701	284
13	30.4	706	279
14	29.9	792	206
15	29.3	876	136
16	28.6	889	97
17	28.1	763	89
18	28	318	83
19	27.5	9	17
20	27.2	0	0
21	26.6	0	0
22	26.7	0	0
23	26.3	0	0
24	26.3	0	0
